security_code,security_name,period,available_by,debt_ratio,current_ratio,quick_ratio,cash_ratio,gross_margin,net_margin,roe,ocf_to_revenue,revenue_growth,parent_netprofit,deduct_netprofit,equity,ocf,revenue,negative_equity,last_trade_date,ret_20d,ret_60d,max_drawdown_60d,vol_20d,dist_52w_low,excess_ret_60d,guarantee_exposure_wan,guarantee_exposure_basis,guarantee_to_equity
600019,宝钢股份,20240930,2024-10-31,0.40510022999999995,1.171101,0.813308,0.209583,0.0526171,0.028364479999999997,0.034300000000000004,0.064393,-0.04905744000000001,5882122270.58,5488000000.0,218434985268.04,15638349281.42,242855678089.72,0,2025-02-28,0.07807308970099669,0.07272727272727275,-0.09355828220858886,0.32755448570724865,0.2902584493041749,0.02409772299832047,0.0,,0.0
000898,鞍钢股份,20240930,2024-10-31,0.48810896,0.709696,0.314898,0.080003,-0.035477720000000004,-0.06381447999999999,-0.09730000000000001,-0.003948,-0.07778139,-5084000000.0,-5084000000.0,50625000000.0,-313000000.0,79261000000.0,0,2025-02-28,0.10176991150442505,0.04621848739495804,-0.1897810218978102,0.33970693692568116,0.3756906077348068,-0.0024110623339942405,0.0,,0.0
000709,河钢股份,20240930,2024-10-31,0.74758083,0.523318,0.379796,0.243737,0.08526323,0.0072068,0.0073,0.088073,-0.06592809,568692711.23,275277898.07,68575991784.34,7868991976.46,89346199055.34,0,2025-02-28,0.049261083743842304,0.0,-0.1610169491525424,0.2766711506940699,0.31481481481481466,-0.04862954972895228,0.0,,0.0
000959,首钢股份,20240930,2024-10-31,0.59524758,0.531196,0.356709,0.086367,0.037406419999999996,0.00375613,0.0040999999999999995,0.008026,-0.03587592,203669296.35,2309094.92,54381483677.95,657908706.95,81969596350.56,0,2025-02-28,0.16666666666666674,0.08737864077669899,-0.15662650602409645,0.3288516212168084,0.36032388663967585,0.03874909104774671,0.0,,0.0
000932,华菱钢铁,20240930,2024-10-31,0.58808044,1.179031,1.011487,0.182064,0.06972999,0.02465329,0.0327,0.076289,-0.07154819,1770988335.91,1492605776.61,65485138880.03,8518932876.07,111666353286.81,0,2025-02-28,0.22192513368983957,0.11463414634146352,-0.17539863325740312,0.5274332878512515,0.44164037854889604,0.06600459661251123,0.0,,0.0
600282,南钢股份,20240930,2024-10-31,0.59325392,0.779507,0.544818,0.153914,0.11883873,0.03584774,0.0671,0.034328,-0.12549976,1753517272.52,1568254801.35,27519417500.81,1692105161.92,49291087788.11,0,2025-02-28,0.1088607594936708,0.15567282321899722,-0.08604651162790689,0.35120068858730763,0.2658959537572254,0.10704327349004494,0.0,,0.0
600808,马钢股份,20240930,2024-10-31,0.63739981,0.480958,0.29074,0.160324,-0.00348262,-0.044885219999999997,-0.09570000000000001,0.041447,-0.16780674,-2534866334.0,-2622521897.0,29512427056.0,2549554855.0,61513212884.0,0,2025-02-28,-0.009146341463414531,0.37130801687763704,-0.11461318051575942,0.3738177172024019,0.8361581920903955,0.32267846714868476,0.0,,0.0
600010,包钢股份,20240930,2024-10-31,0.6030193899999999,0.577975,0.333743,0.129521,0.07877131000000001,-0.01394443,-0.01,0.018,-0.06937262,-516439883.45,-570014272.58,60835360809.7,897619923.1,49865338798.82,0,2025-02-28,0.02259887005649719,-0.062176165803108696,-0.16113744075829373,0.2941839339173785,0.3115942028985508,-0.11080571553206098,0.0,,0.0
000761,本钢板材,20240930,2024-10-31,0.6867385899999999,0.645817,0.288101,0.125399,-0.05454787,-0.07845827,-0.20440000000000003,0.032624,-0.07664541,-3192607074.11,-3329075037.62,14459473779.02,1299996358.43,40214610054.66,0,2025-02-28,0.35690235690235683,0.17492711370262382,-0.20435967302452318,0.8069580260314706,0.8235294117647061,0.12629756397367153,0.0,,0.0
601003,柳钢股份,20240930,2024-10-31,0.6771684600000001,0.617766,0.339936,0.16926,0.03563318,-0.01025563,-0.0355,0.002768,-0.06856874,-307411081.42,-340131082.41,20711555915.9,146991711.95,53095916209.2,0,2025-02-28,0.18461538461538463,0.0547945205479452,-0.180064308681672,0.4738546553589063,0.28333333333333344,0.006164970818992921,0.0,,0.0
600507,方大特钢,20240930,2024-10-31,0.5625386600000001,1.125932,0.999467,0.748972,0.04772159,0.01200879,0.0203,0.089329,-0.17591541,188995525.23,153453405.54,9638735648.95,1449508555.97,16226493304.62,0,2025-02-28,0.06735751295336789,0.04834605597964381,-0.1397590361445784,0.2564269005056401,0.22619047619047628,-0.00028349374930847215,40000.0,新增担保合计,0.04149921883619395
600782,新钢股份,20240930,2024-10-31,0.49090364000000003,0.961324,0.758929,0.167747,-0.00497183,-0.01822692,-0.02223,0.033616,-0.49938431,-578799808.85,-1216120072.71,26255089098.48,1048149210.25,31179664234.79,0,2025-02-28,0.26747720364741645,0.139344262295082,-0.22222222222222232,0.473730160421634,0.6814516129032258,0.09071471256612973,0.0,,0.0
002110,三钢闽光,20240930,2024-10-31,0.6348276700000001,0.635444,0.548295,0.292633,0.03128976,-0.03988362,-0.0674,-0.013403,-0.03465054,-1329039828.35,-790609070.81,19263778911.81,-444683457.52,33177041878.12,0,2025-02-28,0.29206349206349214,0.1595441595441598,-0.22715404699738906,0.5211467231548955,0.6215139442231079,0.11091460981520751,0.0,,0.0
600022,山东钢铁,20240930,2024-10-31,0.56636105,0.488887,0.332571,0.213326,0.01635769,-0.024519600000000003,-0.07110000000000001,0.024423,-0.05919847,-1450858104.99,-1474897002.39,28962169877.75,1571226098.75,64333650830.0,0,2025-02-28,0.021897810218977964,-0.04761904761904767,-0.2267441860465116,0.2950320254727095,0.23893805309734506,-0.09624859734799995,0.0,,0.0
601005,重庆钢铁,20240930,2024-10-31,0.48616413,0.318134,0.213387,0.157318,-0.05248578,-0.06552803,-0.0705,0.052928,-0.31369082,-1349750756.89,-1353861439.38,18454163700.52,1090217210.52,20598066793.49,0,2025-02-28,0.03007518796992481,-0.07432432432432423,-0.25142857142857145,0.3272019257871958,0.35643564356435653,-0.12295387405327651,0.0,,0.0
600569,安阳钢铁,20240930,2024-10-31,0.87330575,0.520881,0.265422,0.179648,-0.03926168,-0.09514962,-0.45,-0.074453,-0.25672047,-2175653622.31,-2225969523.52,5448586730.13,-1799539620.9,24169889350.12,0,2025-02-28,0.11560693641618491,0.048913043478260754,-0.2597402597402598,0.359338112897492,0.48461538461538445,0.00028349374930847215,0.0,,0.0
600581,八一钢铁,20240930,2024-10-31,0.98610275,0.306114,0.219885,0.072433,-0.02419091,-0.09722557,-1.3486000000000002,0.138446,-0.16637670000000002,-1445416890.68,-1452550810.19,424123780.31,2052089120.34,14822222330.47,0,2025-02-28,0.18367346938775508,0.0707692307692307,-0.2116991643454038,0.4039682385026936,0.4089068825910931,0.022139681040278414,0.0,,0.0
600231,凌钢股份,20240930,2024-10-31,0.60728911,0.563829,0.357338,0.270676,-0.06486296,-0.09819317,-0.2023,-0.027661,-0.10546818000000001,-1363363785.59,-1140658366.32,6000424531.89,-384066370.02,13884505960.68,0,2025-02-28,0.07058823529411762,-0.10784313725490191,-0.25229357798165153,0.4117933172522259,0.47967479674796754,-0.1564726869838542,0.0,,0.0
600307,酒钢宏兴,20240930,2024-10-31,0.82762147,0.357021,0.166277,0.114611,0.04978285,-0.07555231,-0.21170000000000003,-0.056296,-0.14470785,-1946003911.09,-1975636547.07,8241413543.06,-1450038623.17,25757038568.72,0,2025-02-28,0.04137931034482767,-0.06790123456790131,-0.24870466321243523,0.30677206690837866,0.32456140350877205,-0.1165307842968536,0.0,,0.0
002075,沙钢股份,20240930,2024-10-31,0.63489023,1.138744,1.00939,0.955204,0.04655079,0.009970989999999999,0.0158,0.05026,-0.06294662,105382344.92,-8546804.68,9906626301.92,543170221.01,10807018442.46,0,2025-02-28,0.10364683301343569,-0.09162717219589256,-0.3180628272251309,0.48206832557913154,0.7746913580246912,-0.14025672192484484,0.0,,0.0
000708,中信特钢,20240930,2024-10-31,0.62302992,1.088894,0.735761,0.143512,0.12370489,0.04820087,0.0985,0.048312,-0.03367423,3836118926.59,3738762033.41,42611860484.19,4034301111.18,83503839526.13,0,2025-02-28,0.09362549800796827,0.03584905660377369,-0.11291779584462514,0.27795744039830644,0.17811158798283255,-0.012780493125178594,12000.0,累计余额,0.0028161173587931652
000825,太钢不锈,20240930,2024-10-31,0.48636286,0.818582,0.453778,0.332869,0.011501049999999999,-0.00726911,-0.0166,0.031464,-0.06344461,-554298067.04,-814873083.8,35385417630.03,2368823263.33,75285188185.36,0,2025-02-28,0.10510510510510507,0.025069637883008422,-0.17974683544303793,0.25849239005957475,0.2646048109965635,-0.02355991184594386,0.0,,0.0
600399,抚顺特钢,20240930,2024-10-31,0.50291928,1.553348,0.862005,0.378404,0.13340603,0.04907633,0.0484,-0.055755,0.02540561,315761219.35,295332238.12,6623528179.72,-358732859.62,6434083563.98,0,2025-02-28,0.030245746691871522,-0.16153846153846152,-0.2021116138763197,0.3439433191128976,0.11451942740286314,-0.2101680112674138,0.0,,0.0
000717,中南股份,20240930,2024-10-31,0.58616631,0.408621,0.246632,0.074597,-0.01347791,-0.036882830000000005,-0.09789999999999999,0.022181,-0.22400569,-850786327.51,-917259349.78,8262580657.64,511675019.78,23067272023.79,0,2025-02-28,0.17200000000000015,0.09328358208955234,-0.36175710594315247,0.4769836711981876,0.7975460122699389,0.04465403236060006,0.0,,0.0
