as_of,security_code,security_name,peer_group,period,total_score,score_leverage,score_liquidity,score_cash,score_profit,score_market,score_contingent,base_tier,tier,tier_label,red_lines,events_after_report,reasons
2024-04-30,600307,酒钢宏兴,core,20240331,67.8,91.3,95.7,82.6,69.6,50.7,0.0,weak,weak,弱,单一维度极差：杠杆91分；单一维度极差：短期偿债96分,0,单一维度极差：杠杆91分；单一维度极差：短期偿债96分；速动比率0.17（24家中第1弱）；现金比率0.06（24家中第2弱）；资产负债率79.1%（24家中第3弱）
2024-04-30,600581,八一钢铁,core,20240331,66.7,100.0,98.6,13.0,84.1,82.6,0.0,weak,weak,弱,资产负债率95.3%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分,0,资产负债率95.3%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率95.3%（24家中第1弱）；现金比率0.05（24家中第1弱）；流动比率0.33（24家中第1弱）
2024-04-30,600569,安阳钢铁,core,20240331,66.0,95.7,55.1,52.2,89.9,97.1,0.0,weak,weak,弱,单一维度极差：杠杆96分,0,单一维度极差：杠杆96分；20日波动率68.6%（24家中第1弱）；资产负债率84.0%（24家中第2弱）；净利率-6.4%（24家中第2弱）
2024-04-30,600808,马钢股份,core,20240331,61.1,73.9,73.9,78.3,60.9,71.0,0.0,weak,weak,弱,,0,60日超额收益-9.1%（24家中第3弱）；速动比率0.27（24家中第5弱）；经营现金流/收入-6.4%（24家中第6弱）
2024-04-30,600231,凌钢股份,core,20240331,59.1,30.4,43.5,91.3,76.8,88.4,38.6,medium,medium,中,,0,毛利率-5.4%（24家中第1弱）；60日超额收益-10.7%（24家中第1弱）；经营现金流/收入-12.2%（24家中第3弱）
2024-04-30,601005,重庆钢铁,core,20240331,55.1,21.7,92.8,87.0,84.1,43.5,0.0,medium,weak,弱,单一维度极差：短期偿债93分,0,单一维度极差：短期偿债93分；流动比率0.42（24家中第2弱）；收入增长-26.1%（24家中第2弱）；速动比率0.20（24家中第3弱）
2024-04-30,601003,柳钢股份,core,20240331,54.9,82.6,46.4,100.0,24.6,69.6,0.0,medium,medium,中,,0,经营现金流/收入-18.9%（24家中第1弱）；资产负债率68.3%（24家中第5弱）；20日波动率41.0%（24家中第5弱）
2024-04-30,000717,中南股份,core,20240331,53.3,47.8,82.6,30.4,72.5,78.3,0.0,medium,medium,中,,0,60日最大回撤-28.8%（24家中第1弱）；速动比率0.23（24家中第4弱）；流动比率0.45（24家中第4弱）
2024-04-30,000761,本钢板材,core,20240331,52.4,78.3,69.6,17.4,68.1,66.7,0.0,medium,medium,中,,0,毛利率-2.9%（24家中第4弱）；速动比率0.30（24家中第6弱）；资产负债率63.7%（24家中第6弱）
2024-04-30,000959,首钢股份,core,20240331,49.6,56.5,73.9,73.9,37.7,44.9,0.0,medium,medium,中,,0,现金比率0.09（24家中第5弱）；经营现金流/收入-6.4%（24家中第7弱）；流动比率0.51（24家中第7弱）
2024-04-30,002110,三钢闽光,core,20240331,43.8,65.2,31.9,65.2,49.3,47.8,0.0,medium,medium,中,,0,资产负债率61.2%（24家中第9弱）；经营现金流/收入-4.7%（24家中第9弱）；60日超额收益-2.0%（24家中第9弱）
2024-04-30,000708,中信特钢,core,20240331,37.5,69.6,36.2,69.6,8.7,30.4,0.3,strong,strong,强,,0,资产负债率62.3%（24家中第8弱）；经营现金流/收入-4.9%（24家中第8弱）；20日波动率39.2%（24家中第9弱）
2024-04-30,600022,山东钢铁,core,20240331,36.2,43.5,63.8,8.7,65.2,24.6,0.0,strong,strong,强,,0,流动比率0.50（24家中第6弱）；速动比率0.31（24家中第8弱）；毛利率0.1%（24家中第8弱）
2024-04-30,000709,河钢股份,core,20240331,36.0,87.0,55.1,4.3,31.9,14.5,0.0,strong,strong,强,,0,资产负债率74.2%（24家中第4弱）；流动比率0.49（24家中第5弱）
2024-04-30,600010,包钢股份,core,20240331,36.0,52.2,59.4,47.8,20.3,23.2,0.0,strong,strong,强,,0,现金比率0.12（24家中第9弱）；流动比率0.60（24家中第10弱）
2024-04-30,000898,鞍钢股份,core,20240331,34.5,4.3,63.8,21.7,84.1,33.3,0.0,strong,strong,强,,0,毛利率-3.5%（24家中第2弱）；现金比率0.08（24家中第4弱）；净利率-6.0%（24家中第5弱）
2024-04-30,600399,抚顺特钢,core,20240331,31.6,8.7,10.1,95.7,4.3,85.5,0.0,strong,strong,强,,0,经营现金流/收入-18.9%（24家中第2弱）；20日波动率44.3%（24家中第3弱）；60日最大回撤-20.6%（24家中第4弱）
2024-04-30,600782,新钢股份,core,20240331,30.1,13.0,31.9,39.1,73.9,27.5,0.0,strong,strong,强,,0,收入增长-50.6%（24家中第1弱）；毛利率0.2%（24家中第9弱）
2024-04-30,000932,华菱钢铁,core,20240331,29.7,26.1,20.3,34.8,34.8,66.7,0.0,strong,strong,强,,0,20日波动率48.8%（24家中第2弱）
2024-04-30,000825,太钢不锈,core,20240331,29.6,17.4,27.5,56.5,44.9,36.2,0.0,strong,strong,强,,0,毛利率1.2%（24家中第10弱）
2024-04-30,002075,沙钢股份,core,20240331,27.8,34.8,4.3,43.5,31.9,58.0,0.0,strong,strong,强,,0,60日最大回撤-19.6%（24家中第5弱）；20日波动率39.7%（24家中第6弱）
2024-04-30,600282,南钢股份,core,20240331,26.1,60.9,30.4,26.1,17.4,8.7,0.0,strong,strong,强,,0,资产负债率61.2%（24家中第10弱）
2024-04-30,600507,方大特钢,core,20240331,22.3,39.1,11.6,0.0,43.5,37.7,0.0,strong,strong,强,,0,收入增长-18.7%（24家中第4弱）
2024-04-30,600019,宝钢股份,core,20240331,18.7,0.0,21.7,60.9,21.7,13.0,0.0,strong,strong,强,,0,经营现金流/收入-3.7%（24家中第10弱）
